Title,Author/s,DOI,Publication Year,External URL
multiparametric magnetic resonance imaging (mri)-based interpretable radiomics machine learning model for outcome prediction in adenomyosis treated by high-intensity focussed ultrasound,"Liu ZY, Liu ZY, Wan XY, Wang Y, Huang XH.",10.1016/j.crad.2025.107058,2025.0,
"op11.06: the predictive value of musa features of adenomyosis on live birth is poor, using a machine learning algorithm",S. Alson; O. Björnsson; S. Hansson; E. Henic; P. Sladkevicius,10.1002/uog.27964,2024.0,http://dx.doi.org/10.1002/uog.27964
p-348 artificial intelligence-based machine learning to diagnose and classify adenomyosis from ultrasound scans: a model development study,I Mishra; N Mishra; Q Meng; M Rajkhowa; V Sephton; R Dhillon-Smith; A Coomarasamy; M Khairy,10.1093/humrep/deaf097.655,2025.0,http://dx.doi.org/10.1093/humrep/deaf097.655
perspectives in transvaginal sonography for the diagnosis of adenomyosis.,Xiao-Ling An; Jun Zhang; Xiao-Chun Yun; Xiao-Hui Lei; Jing Zhao; Xiao-Hua Yang; Mei-Mei Liu,10.3389/fmed.2025.1533648,2025.0,http://dx.doi.org/10.3389/fmed.2025.1533648
prediction of ablation rate for high-intensity focused ultrasound therapy of adenomyosis in mr images based on multi-model fusion.,Jie Ying; Xin Jing; Feng Gao; Jiejun Cheng; Le Fu; Haima Yang,10.1007/s10278-024-01063-4,2024.0,http://dx.doi.org/10.1007/s10278-024-01063-4
quantitative analysis of ultrasound images for computer-aided diagnosis.,Jie Ying Wu; Adam Tuomi; Michael D. Beland; Joseph Konrad; David V. Glidden; David J. Grand; Derek Merck,10.1117/1.jmi.3.1.014501,2016.0,http://dx.doi.org/10.1117/1.jmi.3.1.014501
the increasing role of ultrasound in ob-gyn practice: present and future applications,Lara Marie David Bustamante,10.4103/pjog.pjog_74_23,2023.0,http://dx.doi.org/10.4103/pjog.pjog_74_23
the role of shear wave elastography in predicting clinical symptoms in adenomyosis: a prospective observational study with a machine learning approach,"Zorlu U, Yılmazer Zorlu SN, Elmas B.",10.1111/jog.70037,2025.0,
transvaginal ultrasound: a reliable tool for detection and preoperative mapping of pelvic endometriosis.,Anuradha S Shenoy-Bhangle; Priyanka Jha,10.1016/j.fertnstert.2023.12.035,2023.0,http://dx.doi.org/10.1016/j.fertnstert.2023.12.035
ultrasound texture analysis for the diagnosis of adenomyosis,F. Delberghe; Z. Gong; C. D. Fernandes; C. Rees; H. Van Vliet; M. Mischi,10.1109/MeMeA65319.2025.11068108,2025.0,
urine and serum mirna signatures for the non-invasive diagnosis of adenomyosis: a machine learning-based pilot study.,Tomas Kupec; Julia Wittenborn; Chao-Chung Kuo; Rebecca Senger; Philipp Meyer-Wilmes; Laila Najjari; Elmar Stickeler; Jochen Maurer,10.3390/diagnostics15233012,2025.0,http://dx.doi.org/10.3390/diagnostics15233012
utilization of radiomics to predict long-term outcome of magnetic resonance–guided focused ultrasound ablation therapy in adenomyosis,Zhicong Li; Jing Zhang; Yang Song; Xiaorui Yin; An Chen; Na Tang; Martin R. Prince; Guang Yang; Han Wang,10.1007/s00330-020-07076-1,2020.0,http://dx.doi.org/10.1007/s00330-020-07076-1
vp05.06: differential diagnosis of deep rectal endometriosis by ultrasound,Gábor Szabó; I. Madár; János Rigó; A. Hajdinák; N. Ács; Attila Bokor,10.1002/uog.24091,2021.0,http://dx.doi.org/10.1002/uog.24091
vp62.06: abstract withdrawn,I. Pelayo; J. Sancho; E. Cabezas; Belén Perez‐Mies; E Moratalla Bartolomé; C. del‐Valle‐Rubido; L.I. Abarca; José Luis Lázaro Galilea,10.1002/uog.23367,2020.0,http://dx.doi.org/10.1002/uog.23367
vp62.16: artificial intelligence in the detection of rectosigmoid deep endometriosis,Stefano Guerriero; Maria Angela Pascual; Ignacio Rodríguez; Silvia Ajossa; Manuela Neri; Eleonora Musa; Betlem Graupera; J. L. Alcazar,10.1002/uog.23377,2020.0,http://dx.doi.org/10.1002/uog.23377
