PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37947870","A self-supervised classification model for endometrial diseases","Fang Y, Wei Y, Liu X, Qin L, Gao Y, Yu Z, Xu X, Cha G, Zhu X, Wang X, Xu L, Cao L, Chen X, Jiang H, Zhang C, Zhou Y, Zhu J.","J Cancer Res Clin Oncol. 2023 Dec;149(20):17855-17863. doi: 10.1007/s00432-023-05467-7. Epub 2023 Nov 10.","Fang Y","J Cancer Res Clin Oncol","2023","2023/11/10","PMC10725391","","10.1007/s00432-023-05467-7"
"39854656","Intra- and interobserver agreement of proposed objective transvaginal ultrasound image-quality scoring system for use in artificial intelligence algorithm development","Deslandes A, Avery JC, Chen HT, Leonardi M, Knox S, Lo G, O'Hara R, Condous G, Hull ML; Collaborators.","Ultrasound Obstet Gynecol. 2025 Mar;65(3):364-371. doi: 10.1002/uog.29178. Epub 2025 Jan 24.","Deslandes A","Ultrasound Obstet Gynecol","2025","2025/01/24","PMC11872342","","10.1002/uog.29178"
"41239248","Prediction of uterine cavity conception environment using two-dimensional transvaginal ultrasound imaging semantic feature-based machine learning: a case-control study","Zhang J, Liu S, Rong Y, Liu S, Zhong C, Tu P, Zhang X, Ran S.","BMC Pregnancy Childbirth. 2025 Nov 14;25(1):1204. doi: 10.1186/s12884-025-08390-6.","Zhang J","BMC Pregnancy Childbirth","2025","2025/11/14","PMC12619196","","10.1186/s12884-025-08390-6"
"40784788","[Development of a machine learning-based diagnostic model for T-shaped uterus using transvaginal 3D ultrasound quantitative parameters]","Li SJ, Wang Y, Huang R, Yang LM, Lyu XD, Huang XW, Peng XB, Song DM, Ma N, Xiao Y, Zhou QY, Guo Y, Liang N, Liu S, Gao K, Yan YN, Xia EL.","Zhonghua Yi Xue Za Zhi. 2025 Aug 12;105(30):2551-2557. doi: 10.3760/cma.j.cn112137-20250302-00493.","Li SJ","Zhonghua Yi Xue Za Zhi","2025","2025/08/10","","","10.3760/cma.j.cn112137-20250302-00493"
"40730080","EndoUSScan: Keyframe detection in transvaginal ultrasound imaging for measuring endometrial thickness","Liu Y, Peng B, Zhou Q, Yuan S, Yan W, Fang L, Jiang J, Wang S, Zhu X, Wang W.","Comput Methods Programs Biomed. 2025 Nov;271:108957. doi: 10.1016/j.cmpb.2025.108957. Epub 2025 Jul 18.","Liu Y","Comput Methods Programs Biomed","2025","2025/07/29","","","10.1016/j.cmpb.2025.108957"
"39001313","Bidirectional Copy-Paste Mamba for Enhanced Semi-Supervised Segmentation of Transvaginal Uterine Ultrasound Images","Peng B, Liu Y, Wang W, Zhou Q, Fang L, Zhu X.","Diagnostics (Basel). 2024 Jul 3;14(13):1423. doi: 10.3390/diagnostics14131423.","Peng B","Diagnostics (Basel)","2024","2024/07/13","PMC11241150","","10.3390/diagnostics14131423"
"40442164","Prediction of clinical stages of cervical cancer via machine learning integrated with clinical features and ultrasound-based radiomics","Zhang M, Zhang Q, Wang X, Peng X, Chen J, Yang H.","Sci Rep. 2025 May 29;15(1):18862. doi: 10.1038/s41598-025-03170-w.","Zhang M","Sci Rep","2025","2025/05/29","PMC12122849","","10.1038/s41598-025-03170-w"
"38096645","Role of ultrasonography in the diagnosis of endometriosis in infertile women: Ovarian endometrioma, deep endometriosis, and superficial endometriosis","Tan S, Leonardi M, Lo G, Lee E.","Best Pract Res Clin Obstet Gynaecol. 2024 Feb;92:102450. doi: 10.1016/j.bpobgyn.2023.102450. Epub 2023 Dec 10.","Tan S","Best Pract Res Clin Obstet Gynaecol","2024","2023/12/14","","","10.1016/j.bpobgyn.2023.102450"
"40656926","Current Status and Future Potential of Machine Learning in Diagnostic Imaging of Endometriosis : A Literature Review","Shrestha P, Shrestha B, Sherestha J, Chen J.","JNMA J Nepal Med Assoc. 2025 Mar;63(283):205-211. doi: 10.31729/jnma.8897. Epub 2025 Mar 31.","Shrestha P","JNMA J Nepal Med Assoc","2025","2025/07/14","PMC12122278","","10.31729/jnma.8897"
"40749409","Real-time detection of premalignant cervical lesion using Artificial Intelligence (AI) model in multispectral imaging system","Keerthana A, Anantharaju A, Ansar PTM, Kala, Rohini, Gunaseelan K, Nair NS, Pal UM.","Eur J Obstet Gynecol Reprod Biol. 2025 Sep;313:114579. doi: 10.1016/j.ejogrb.2025.114579. Epub 2025 Jul 23.","Keerthana A","Eur J Obstet Gynecol Reprod Biol","2025","2025/08/01","","","10.1016/j.ejogrb.2025.114579"
