PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37064348","Artificial intelligence diagnosis of intrauterine adhesion by 3D ultrasound imaging: a prospective study","Zhao X, Liu M, Wu S, Zhang B, Burjoo A, Yang Y, Xu D.","Quant Imaging Med Surg. 2023 Apr 1;13(4):2314-2327. doi: 10.21037/qims-22-965. Epub 2023 Mar 22.","Zhao X","Quant Imaging Med Surg","2023","2023/04/17","PMC10102785","","10.21037/qims-22-965"
"39253160","Few-shot learning to identify atypical endometrial hyperplasia and endometrial cancer based on transvaginal ultrasonic images","Wang M, Liu W, Gu X, Cui F, Ding J, Zhu Y, Bian J, Liu W, Chen Y, Zhou J.","Heliyon. 2024 Aug 16;10(16):e36426. doi: 10.1016/j.heliyon.2024.e36426. eCollection 2024 Aug 30.","Wang M","Heliyon","2024","2024/09/10","PMC11381780","","10.1016/j.heliyon.2024.e36426"
"40775991","Fada: Fetal Accurate Detection AI for Automated Ultrasound Image Analysis and Reporting","Shah U, Alzubaidi M, Alamri E, Agus M, Househ M.","Stud Health Technol Inform. 2025 Aug 7;329:916-920. doi: 10.3233/SHTI250973.","Shah U","Stud Health Technol Inform","2025","2025/08/08","","","10.3233/SHTI250973"
