Title,Author/s,DOI,Publication Year,External URL
development of a novel machine learning model for automatic assessment of quality of transvaginal ultrasound images from multi-annotator labels.,Alison Deslandes; Daniel Petashvili; Hu Wang; Gustavo Carnerio; Jodie Avery; George Condous; Mathew Leonardi; M Louise Hull; Hsiang-Ting Chen,10.1002/ajum.70026,2025.0,http://dx.doi.org/10.1002/ajum.70026
"early diagnosis of ovarian cancer: a comprehensive review of the advances, challenges, and future directions.",Mun-Kun Hong; Dah-Ching Ding,10.3390/diagnostics15040406,2025.0,http://dx.doi.org/10.3390/diagnostics15040406
embc - deep learning based junctional zone quantification using 3d transvaginal ultrasound in assisted reproduction,Nitin Singhal; Srinivas Rao Kudavelly; G. A. Ramaraju,10.1109/embc44109.2020.9175358,2020.0,http://dx.doi.org/10.1109/embc44109.2020.9175358
endometrium segmentation on transvaginal ultrasound image using key-point discriminator.,Hyenok Park; Hong Joo Lee; Hak Gu Kim; Yong Man Ro; Dong-Kuk Shin; Ra Lee; Sunghoon Kim; Mikyung Kong,10.1002/mp.13677,2019.0,http://dx.doi.org/10.1002/mp.13677
imaging in gynecological cancers,Gülden Özek,10.37609/akya.3975.c2694,2026.0,http://dx.doi.org/10.37609/akya.3975.c2694
intra- and interobserver agreement of proposed objective transvaginal ultrasound image-quality scoring system for use in artificial intelligence algorithm development.,A Deslandes; J C Avery; H-T Chen; M Leonardi; S Knox; G Lo; R O'Hara; G Condous; M L Hull; null null,10.1002/uog.29178,2025.0,http://dx.doi.org/10.1002/uog.29178
is ultrasound valuable for the diagnosis of women with abnormal detrusor activity,Pei-Fen Lo; Wen-Hsun Chang; Peng-Hui Wang,10.1097/jcma.0000000000000624,2022.0,http://dx.doi.org/10.1097/jcma.0000000000000624
machine learning methods for preterm birth prediction: a review,Tomasz Włodarczyk; Szymon Płotka; Tomasz Szczepański; Przemyslaw Stefan Rokita; Nicole Sochacki-Wójcicka; Jakub Wójcicki; Michal Lipa; Tomasz Trzcinski,10.3390/electronics10050586,2021.0,http://dx.doi.org/10.3390/electronics10050586
machine learning models in evaluating the malignancy risk of ovarian tumors: a comparative study.,Xin He; Xiang-Hui Bai; Hui Chen; Wei-Wei Feng,10.1186/s13048-024-01544-8,2024.0,http://dx.doi.org/10.1186/s13048-024-01544-8
machine learning prediction of short cervix in mid-pregnancy based on multimodal data from the first-trimester screening period: an observational study in a high-risk population.,Shengyu Wu; Jiaqi Dong; Jifan Shi; Xiaoxian Qu; Yirong Bao; Xiaoyuan Mao; Mu Lv; Xuan Chen; Hao Ying,10.3390/biomedicines13092057,2025.0,http://dx.doi.org/10.3390/biomedicines13092057
