Title,Author/s,DOI,External URL,include,reason
artificial intelligence and uterine fibroids: a useful combination for diagnosis and treatment.,Andrea Tinelli; Andrea Morciano; Radmila Sparic; Safak Hatirnaz; Lorenzo E Malgieri; Antonio Malvasi; Antonio D'Amato; Giorgio Maria Baldini; Giovanni Pecorella,10.3390/jcm14103454,http://dx.doi.org/10.3390/jcm14103454,,
artificial intelligence assisted common maternal fetal planes prediction from ultrasound images based on information fusion of customized convolutional neural networks.,Fatima Rauf; Muhammad Attique Khan; Hussain M Albarakati; Kiran Jabeen; Shrooq Alsenan; Ameer Hamza; Sokea Teng; Yunyoung Nam,10.3389/fmed.2024.1486995,http://dx.doi.org/10.3389/fmed.2024.1486995,,
artificial intelligence diagnosis of intrauterine adhesion by 3d ultrasound imaging: a prospective study.,Xingping Zhao; Minqiang Liu; Susu Wu; Baiyun Zhang; Arvind Burjoo; Yimin Yang; Dabao Xu,10.21037/qims-22-965,http://dx.doi.org/10.21037/qims-22-965,yes,
artificial intelligence in the assessment of female reproductive function using ultrasound: a review.,Zhiyi Chen; Ziyao Wang; Meng Du; Zhenyu Liu,10.1002/jum.15827,http://dx.doi.org/10.1002/jum.15827,,
artificial intelligence in ultrasound-based diagnoses of gynecological tumors: a systematic review.,Fatima Siddig Abdalla Mohammed; Sara Mirghani Ahmed Eisa; Alsafa Mohamed Abdalla Madani; Najah Madyan F Alrowili; Ahlam Mohammed K Al Ghaythan; Ibtihal Meargani Mohamed Ali; Lamis Elamin; Naima Abdirahman Salad,10.7759/cureus.85884,http://dx.doi.org/10.7759/cureus.85884,,
artificial intelligence model for enhancing the accuracy of transvaginal ultrasound in detecting endometrial cancer and endometrial atypical hyperplasia.,Ilaria Capasso; Giuseppe Cucinella; Darryl E Wright; Hiroaki Takahashi; Luigi Antonio De Vitis; Adriana V Gregory; Bohyun Kim; Evelyn Reynolds; Diletta Fumagalli; Tommaso Occhiali; Angela J Fought; Michaela E McGree; Annie T Packard; Pamela I Causa Andrieu; Francesco Fanfani; Giovanni Scambia; Carrie L Langstraat; Abimbola Famuyide; Daniel M Breitkopf; Andrea Mariani; Gretchen E Glaser; Timothy L Kline,10.1136/ijgc-2024-005652,http://dx.doi.org/10.1136/ijgc-2024-005652,yes,
artificial intelligence performance in image-based ovarian cancer identification: a systematic review and meta-analysis.,He-Li Xu; Ting-Ting Gong; Fang-Hua Liu; Hong-Yu Chen; Qian Xiao; Yang Hou; Ying Huang; Hong-Zan Sun; Yu Shi; Song Gao; Yan Lou; Qing Chang; Yu-Hong Zhao; Qing-Lei Gao; Qi-Jun Wu,10.1016/j.eclinm.2022.101662,http://dx.doi.org/10.1016/j.eclinm.2022.101662,,
"artificial intelligence, intrapartum ultrasound and dystocic delivery: aida (artificial intelligence dystocia algorithm), a promising helping decision support system.",Antonio Malvasi; Lorenzo E Malgieri; Ettore Cicinelli; Antonella Vimercati; Antonio D'Amato; Miriam Dellino; Giuseppe Trojano; Tommaso Difonzo; Renata Beck; Andrea Tinelli,10.3390/jimaging10050107,http://dx.doi.org/10.3390/jimaging10050107,,
artificial intelligence-aided method to detect uterine fibroids in ultrasound images: a retrospective study,Tongtong Huo; Lixin Li; Xiting Chen; Ziyi Wang; Xiaojun Zhang; Songxiang Liu; Jinfa Huang; Jiayao Zhang; Qian Yang; Wei Wu; Yi Xie; Honglin Wang; Zhewei Ye; Kaixian Deng,10.21203/rs.3.rs-2099498/v1,http://dx.doi.org/10.21203/rs.3.rs-2099498/v1,,
artificial intelligence-aided method to detect uterine fibroids in ultrasound images: a retrospective study.,Tongtong Huo; Lixin Li; Xiting Chen; Ziyi Wang; Xiaojun Zhang; Songxiang Liu; Jinfa Huang; Jiayao Zhang; Qian Yang; Wei Wu; Yi Xie; Honglin Wang; Zhewei Ye; Kaixian Deng,10.1038/s41598-022-26771-1,http://dx.doi.org/10.1038/s41598-022-26771-1,,
assessing the utility of artificial intelligence in endometriosis: promises and pitfalls.,Brie Dungate; Dwayne R Tucker; Emma Goodwin; Paul J Yong,10.1177/17455057241248121,http://dx.doi.org/10.1177/17455057241248121,,
automated assessment of endometrial receptivity for screening recurrent pregnancy loss risk using deep learning-enhanced ultrasound and clinical data.,Shanling Yan; Fei Xiong; Yanfen Xin; Zhuyu Zhou; Wanqing Liu,10.3389/fphys.2024.1404418,http://dx.doi.org/10.3389/fphys.2024.1404418,,
automated assessment of endometrium from transvaginal ultrasound using deep learned snake,N. Singhal; S. Mukherjee; C. Perrey,10.1109/ISBI.2017.7950520,,no,not available
automatic endometrial segmentation in ultrasound images using deep learning,Y. Liu; B. Peng; X. Zhu; W. Wang; Q. Zhou; S. Wang; J. Jiang; L. Fang,10.1109/MCSoC57363.2022.00020,,,
automatic human embryo volume measurement in first trimester ultrasound from the rotterdam periconception cohort: quantitative and qualitative evaluation of artificial intelligence.,Wietske A P Bastiaansen; Stefan Klein; Batoul Hojeij; Eleonora Rubini; Anton H J Koning; Wiro Niessen; Régine P M Steegers-Theunissen; Melek Rousian,,https://www.ncbi.nlm.nih.gov/pubmed/40163035,,
automatic measurement of endometrial thickness from transvaginal ultrasound images.,Yiyang Liu; Qin Zhou; Boyuan Peng; Jingjing Jiang; Li Fang; Weihao Weng; Wenwen Wang; Shixuan Wang; Xin Zhu,10.3389/fbioe.2022.853845,http://dx.doi.org/10.3389/fbioe.2022.853845,yes,but 2D
automatic segmentation and alignment of uterine shapes from 3d ultrasound data.,Eva Boneš; Marco Gergolet; Ciril Bohak; Žiga Lesar; Matija Marolt,10.1016/j.compbiomed.2024.108794,http://dx.doi.org/10.1016/j.compbiomed.2024.108794,yes,
automatic uterus segmentation in transvaginal ultrasound using u-net and nnu-net.,Dilara Tank; Bianca G S Schor; Lisa M Trommelen; Judith A F Huirne; Iacer Calixto; Robert A de Leeuw,10.1371/journal.pone.0336237,http://dx.doi.org/10.1371/journal.pone.0336237,no,already included
b-ultrasound image analysis of intrauterine pregnancy residues after mid-term pregnancy based on smart medical big data.,Huiliao He; Ruixing Liu; Xiuping Zhou; Yinhong Zhang; Beibei Yu; Zhihua Xu; Hu Huang,10.1155/2022/9937051,http://dx.doi.org/10.1155/2022/9937051,,
