Title,Author/s,DOI,External URL,include,reason
radiomics-based machine learning for the detection of myometrial invasion in endometrial cancer: systematic review and meta-analysis.,Wanhao Jiang; Huali Wang; Yumeng Cui,10.2196/78809,http://dx.doi.org/10.2196/78809,,
segmentation of ovarian cyst in ultrasound images using adaresu-net with optimization algorithm and deep learning model.,Mohemmed Sha,10.1038/s41598-024-69427-y,http://dx.doi.org/10.1038/s41598-024-69427-y,,
the application of super-resolution ultrasound radiomics models in predicting the failure of conservative treatment for ectopic pregnancy.,Mingyan Zhang; Junfa Sheng,10.1186/s12958-025-01437-5,http://dx.doi.org/10.1186/s12958-025-01437-5,,
the application of ultrasound artificial intelligence in the diagnosis of endometrial diseases: current practice and future development.,Qiao Wei; Zhang Xiao; Xiaowen Liang; Zhili Guo; Yanfen Zhang; Zhiyi Chen,10.1177/20552076241310060,http://dx.doi.org/10.1177/20552076241310060,,
the emerging role of sonoelastography in pregnancy: applications in assessing maternal and fetal health.,Abdulrahman M Alfuraih,10.3390/diagnostics15010047,http://dx.doi.org/10.3390/diagnostics15010047,,
the future is coming: artificial intelligence in the treatment of infertility could improve assisted reproduction outcomes-the value of regulatory frameworks.,Sanja Medenica; Dusan Zivanovic; Ljubica Batkoska; Susanna Marinelli; Giuseppe Basile; Antonio Perino; Gaspare Cucinella; Giuseppe Gullo; Simona Zaami,10.3390/diagnostics12122979,http://dx.doi.org/10.3390/diagnostics12122979,,
the impact of maternal vulnerability on stress biomarkers and first-trimester growth: the rotterdam periconceptional cohort (predict study).,Sofie K M Van Zundert; Lenie Van Rossem; Mina Mirzaian; Sten P Willemsen; Lotte W Voskamp; Wietske A P Bastiaansen; Darya Nikpayam; Pieter H Griffioen; Wim F Schilleman; Anton H J Koning; Sjoerd A A Van Den Berg; Melek Rousian; Ron H N Van Schaik; Régine P M Steegers-Theunissen,10.1093/humrep/deae211,http://dx.doi.org/10.1093/humrep/deae211,,
the increasing role of ultrasound in ob-gyn practice: present and future applications,Lara Marie David Bustamante,10.4103/pjog.pjog_74_23,http://dx.doi.org/10.4103/pjog.pjog_74_23,no,
the role of artificial intelligence in female infertility diagnosis: an update.,Necati Findikli; Catherine Houba; David Pening; Anne Delbaere,10.3390/jcm14093127,http://dx.doi.org/10.3390/jcm14093127,,
towards clinical application of artificial intelligence in ultrasound imaging.,Masaaki Komatsu; Akira Sakai; Ai Dozen; Kanto Shozu; Suguru Yasutomi; Hidenori Machino; Ken Asada; Syuzo Kaneko; Ryuji Hamamoto,10.3390/biomedicines9070720,http://dx.doi.org/10.3390/biomedicines9070720,,
transvaginal ultrasound: a reliable tool for detection and preoperative mapping of pelvic endometriosis.,Anuradha S Shenoy-Bhangle; Priyanka Jha,10.1016/j.fertnstert.2023.12.035,http://dx.doi.org/10.1016/j.fertnstert.2023.12.035,no,
ultrasound image analysis using deep neural networks for discriminating between benign and malignant ovarian tumors: comparison with expert subjective assessment.,F. Christiansen; E. L. Epstein; E. Smedberg; M. Åkerlund; Kevin Smith; Elisabeth Epstein,10.1002/uog.23530,http://dx.doi.org/10.1002/uog.23530,,
ultrasound image under artificial intelligence algorithm to evaluate the intervention effect of accelerated rehabilitation surgery nursing on laparoscopic hysterectomy.,Haiwei Yu; Ziming Zhao; Xiuping Duan; Jian Zhou; Dechun Su,10.1155/2022/9042954,http://dx.doi.org/10.1155/2022/9042954,,
ultrasound image-based deep learning to differentiate tubal-ovarian abscess from ovarian endometriosis cyst.,Ping Hu; Yanjuan Gao; Yiqian Zhang; Kui Sun,10.3389/fphys.2023.1101810,http://dx.doi.org/10.3389/fphys.2023.1101810,,
ultrasound radiomics and deep learning for predicting antral follicle count and anti-müllerian hormone.,Jinwei Zhang; Shangqing Liu; Shuang Liu; Yue Rong; Chunyan Zhong; Dong Ni; Suzhen Ran,10.1038/s41598-025-33010-w,http://dx.doi.org/10.1038/s41598-025-33010-w,,
ultrasound texture analysis for the diagnosis of adenomyosis,F. Delberghe; Z. Gong; C. D. Fernandes; C. Rees; H. Van Vliet; M. Mischi,10.1109/MeMeA65319.2025.11068108,,,
ultrasound-based machine learning model to predict the risk of endometrial cancer among postmenopausal women.,Yi-Xin Li; Yu Lu; Zhe-Ming Song; Yu-Ting Shen; Wen Lu; Min Ren,10.1186/s12880-025-01705-1,http://dx.doi.org/10.1186/s12880-025-01705-1,,
unveiling the real benefits of robot-assisted surgery in gynaecology: from telesurgery to image-guided surgery and artificial intelligence.,Matteo Pavone; Marta Goglia; Andrea Rosati; Chiara Innocenzi; Nicolò Bizzarri; Barbara Seeliger; Pietro Mascagni; Filippo Alberto Ferrari; Antonello Forgione; Antonia Carla Testa; Anna Fagotti; Francesco Fanfani; Denis Querleu; Giovanni Scambia; Cherif Akladios; Jacques Marescaux; Lise Lecointre,10.52054/fvvo.2024.13522,http://dx.doi.org/10.52054/fvvo.2024.13522,,
vp03.02: a machine learning approach applied to gynecological ultrasound to predict progression-free survival in ovarian cancer patients,Francesca Arezzo; Vera Loizzi; Claudio Lombardi; Gerardo Cazzato; Vincenzo Venerito; V Cataldo; M Mongelli; Ettore Cicinelli; Gennaro Cormio; CM Santarsiero,10.1002/uog.24046,http://dx.doi.org/10.1002/uog.24046,no,
vp03.05: tubo-ovarian abscess: a primary finding of colorectal cancer,L. Ferreira de Castro; A.R. Andrade; R. Machado; M. Leal,10.1002/uog.24049,http://dx.doi.org/10.1002/uog.24049,,
vp05.06: differential diagnosis of deep rectal endometriosis by ultrasound,Gábor Szabó; I. Madár; János Rigó; A. Hajdinák; N. Ács; Attila Bokor,10.1002/uog.24091,http://dx.doi.org/10.1002/uog.24091,,
vp59.44: machine learning to diagnose rectouterine pouch obliteration with the sliding sign on transvaginal ultrasound: a prospective study,Mathew Leonardi; G. Macais; Jodie C Avery; C. Panuccio; Gustavo Carneiro; M.L. Hull; George Condous,10.1002/uog.23327,http://dx.doi.org/10.1002/uog.23327,no,not an article
vp62.06: abstract withdrawn,I. Pelayo; J. Sancho; E. Cabezas; Belén Perez‐Mies; E Moratalla Bartolomé; C. del‐Valle‐Rubido; L.I. Abarca; José Luis Lázaro Galilea,10.1002/uog.23367,http://dx.doi.org/10.1002/uog.23367,no,
vp62.16: artificial intelligence in the detection of rectosigmoid deep endometriosis,Stefano Guerriero; Maria Angela Pascual; Ignacio Rodríguez; Silvia Ajossa; Manuela Neri; Eleonora Musa; Betlem Graupera; J. L. Alcazar,10.1002/uog.23377,http://dx.doi.org/10.1002/uog.23377,,
vp66.24: the adoption of radiomics and machine learning improves the diagnostic processes of women with ovarian masses (aroma study),V. Chiappa; G. Bogani; F. Bertolina; M. Interlenghi; C. Salvatore; M. Signorelli; I. Castiglioni; F. Raspagliesi,10.1002/uog.23482,http://dx.doi.org/10.1002/uog.23482,no,
vp66.25: triaging women with abnormal uterine bleeding in ambulatory care: results from the prospective ieta-1 cohort study,Jan Y Verbakel; Laure Wynants; R. Heremans; Lil Valentin; B. De Cock; Maria Angela Pascual; F. P. G. Leone; Povilas Sladkevicius; J. L. Alcazar; C. Van Pachterbeke; L. Jokubkiene; Elisabeth Epstein; Robert Fruscio; Tom Bourne; B. Van Calster; D. Timmerman; T. Van den Bosch,10.1002/uog.23483,http://dx.doi.org/10.1002/uog.23483,no,
world congress of perinatal medicine,Fatima Usman; Sanja Kupesic-Plavsic; Milan Stanojević; Aliyu Labaran; Dayyabu Labaran; Radu Vlădăreanu; Mona Zvâncă; Alexandra Munteanu; Mihaela Boț; Simona Vlădăreanu; Cristian Andrei; Ciprian Pop-Began,10.1515/jpm-2021-0310,http://dx.doi.org/10.1515/jpm-2021-0310,no,
